mirna	target_gene	mirna_gene_id	target_gene_id	mirna_chr	target_gene_chr
MIR106A	GNB1	ENSG00000284157	ENSG00000078369	chrX	chr1
MIR17	GNB1	ENSG00000284536	ENSG00000078369	chr13	chr1
NA	SKI	NA	ENSG00000157933	NA	chr1
MIR196A	SKI	NA	ENSG00000157933	NA	chr1
MIR92B	SKI	ENSG00000284586	ENSG00000157933	chr1	chr1
MIR484	SKI	ENSG00000283736	ENSG00000157933	chr16	chr1
MIRLET7B	SKI	ENSG00000284520	ENSG00000157933	chr22	chr1
MIR221	SKI	ENSG00000207870	ENSG00000157933	chrX	chr1
MIR92A	SKI	NA	ENSG00000157933	NA	chr1
MIR33A	SKI	ENSG00000207932	ENSG00000157933	chr22	chr1
MIR17	PRDM16	ENSG00000284536	ENSG00000177133	chr13	chr1
MIR17	PRDM16	ENSG00000284536	ENSG00000142611	chr13	chr1
MIR20A	PRDM16	ENSG00000283762	ENSG00000177133	chr13	chr1
MIR20A	PRDM16	ENSG00000283762	ENSG00000142611	chr13	chr1
NA	PRDM16	NA	ENSG00000177133	NA	chr1
NA	PRDM16	NA	ENSG00000142611	NA	chr1
MIR21	TPRG1L	ENSG00000284190	ENSG00000158109	chr17	chr1
NA	TPRG1L	NA	ENSG00000158109	NA	chr1
MIR93	TPRG1L	ENSG00000207757	ENSG00000158109	chr7	chr1
MIR4286	LRRC47	ENSG00000263762	ENSG00000130764	chr8	chr1
NA	LRRC47	NA	ENSG00000130764	NA	chr1
MIR1301	CEP104	ENSG00000221445	ENSG00000116198	chr2	chr1
NA	CEP104	NA	ENSG00000116198	NA	chr1
MIR598	C1orf174	ENSG00000207600	ENSG00000198912	chr8	chr1
NA	C1orf174	NA	ENSG00000198912	NA	chr1
NA	RPL22	NA	ENSG00000116251	NA	chr1
MIR92A	RPL22	NA	ENSG00000116251	NA	chr1
MIR193B	RPL22	ENSG00000207639	ENSG00000116251	chr16	chr1
MIR99B	ICMT	ENSG00000207550	ENSG00000116237	chr19	chr1
NA	ICMT	NA	ENSG00000116237	NA	chr1
MIR17	ESPN	ENSG00000284536	ENSG00000187017	chr13	chr1
MIR15A	ESPN	ENSG00000283785	ENSG00000187017	chr13	chr1
MIR30A	NOL9	ENSG00000207827	ENSG00000162408	chr6	chr1
NA	NOL9	NA	ENSG00000162408	NA	chr1
NA	KLHL21	NA	ENSG00000162413	NA	chr1
MIR194	KLHL21	ENSG00000207624	ENSG00000162413	chr1	chr1
MIR194	KLHL21	ENSG00000229719	ENSG00000162413	chr11	chr1
MIR194	KLHL21	ENSG00000284155	ENSG00000162413	chr11	chr1
MIR130A	KLHL21	ENSG00000208009	ENSG00000162413	chr11	chr1
NA	DNAJC11	NA	ENSG00000007923	NA	chr1
MIR324	DNAJC11	ENSG00000199053	ENSG00000007923	chr17	chr1
MIR193B	DNAJC11	ENSG00000207639	ENSG00000007923	chr16	chr1
MIR27A	CAMTA1	ENSG00000207808	ENSG00000237436	chr19	chr1
MIR27A	CAMTA1	ENSG00000207808	ENSG00000171735	chr19	chr1
MIR27A	CAMTA1	ENSG00000207808	ENSG00000237402	chr19	chr1
MIR27A	CAMTA1	ENSG00000207808	ENSG00000237728	chr19	chr1
MIR27A	CAMTA1	ENSG00000207808	ENSG00000225126	chr19	chr1
NA	CAMTA1	NA	ENSG00000237436	NA	chr1
NA	CAMTA1	NA	ENSG00000171735	NA	chr1
NA	CAMTA1	NA	ENSG00000237402	NA	chr1
NA	CAMTA1	NA	ENSG00000237728	NA	chr1
NA	CAMTA1	NA	ENSG00000225126	NA	chr1
MIR20A	VAMP3	ENSG00000283762	ENSG00000049245	chr13	chr1
NA	VAMP3	NA	ENSG00000049245	NA	chr1
MIR17	VAMP3	ENSG00000284536	ENSG00000049245	chr13	chr1
NA	PARK7	NA	ENSG00000116288	NA	chr1
MIR222	PARK7	ENSG00000207725	ENSG00000116288	chrX	chr1
MIR92B	PARK7	ENSG00000284586	ENSG00000116288	chr1	chr1
MIR19B	ERRFI1	NA	ENSG00000116285	NA	chr1
NA	ERRFI1	NA	ENSG00000116285	NA	chr1
MIR130A	ERRFI1	ENSG00000208009	ENSG00000116285	chr11	chr1
MIR483	ERRFI1	ENSG00000207805	ENSG00000116285	chr11	chr1
MIR17	ERRFI1	ENSG00000284536	ENSG00000116285	chr13	chr1
MIR196A	ERRFI1	NA	ENSG00000116285	NA	chr1
MIR301A	RERE	ENSG00000207996	ENSG00000142599	chr17	chr1
MIR301A	RERE	ENSG00000207996	ENSG00000232912	chr17	chr1
MIR92B	RERE	ENSG00000284586	ENSG00000142599	chr1	chr1
MIR92B	RERE	ENSG00000284586	ENSG00000232912	chr1	chr1
NA	ENO1	NA	ENSG00000074800	NA	chr1
NA	ENO1	NA	ENSG00000230679	NA	chr1
MIR744	ENO1	ENSG00000266297	ENSG00000074800	chr17	chr1
MIR744	ENO1	ENSG00000266297	ENSG00000230679	chr17	chr1
MIR29A	ENO1	ENSG00000284032	ENSG00000074800	chr7	chr1
MIR29A	ENO1	ENSG00000284032	ENSG00000230679	chr7	chr1
MIR18A	ENO1	ENSG00000283815	ENSG00000074800	chr13	chr1
MIR18A	ENO1	ENSG00000283815	ENSG00000230679	chr13	chr1
MIR484	ENO1	ENSG00000283736	ENSG00000074800	chr16	chr1
MIR484	ENO1	ENSG00000283736	ENSG00000230679	chr16	chr1
MIR3177	ENO1	ENSG00000265820	ENSG00000074800	chr16	chr1
MIR3177	ENO1	ENSG00000265820	ENSG00000230679	chr16	chr1
MIR378A	ENO1	ENSG00000199047	ENSG00000074800	chr5	chr1
MIR378A	ENO1	ENSG00000199047	ENSG00000230679	chr5	chr1
MIR27A	ENO1	ENSG00000207808	ENSG00000074800	chr19	chr1
MIR27A	ENO1	ENSG00000207808	ENSG00000230679	chr19	chr1
MIR1260B	ENO1	ENSG00000266192	ENSG00000074800	chr11	chr1
MIR1260B	ENO1	ENSG00000266192	ENSG00000230679	chr11	chr1
MIR204	ENO1	ENSG00000207935	ENSG00000074800	chr9	chr1
MIR204	ENO1	ENSG00000207935	ENSG00000230679	chr9	chr1
MIR16	ENO1	ENSG00000198987	ENSG00000074800	chr3	chr1
MIR16	ENO1	ENSG00000198987	ENSG00000230679	chr3	chr1
MIR16	ENO1	ENSG00000208006	ENSG00000074800	chr13	chr1
MIR16	ENO1	ENSG00000208006	ENSG00000230679	chr13	chr1
MIR125A	ENO1	ENSG00000208008	ENSG00000074800	chr19	chr1
MIR125A	ENO1	ENSG00000208008	ENSG00000230679	chr19	chr1
MIR615	ENO1	ENSG00000207571	ENSG00000074800	chr12	chr1
MIR615	ENO1	ENSG00000207571	ENSG00000230679	chr12	chr1
MIR222	ENO1	ENSG00000207725	ENSG00000074800	chrX	chr1
MIR222	ENO1	ENSG00000207725	ENSG00000230679	chrX	chr1
MIR130A	ENO1	ENSG00000208009	ENSG00000074800	chr11	chr1
MIR130A	ENO1	ENSG00000208009	ENSG00000230679	chr11	chr1
MIR19A	ENO1	ENSG00000284204	ENSG00000074800	chr13	chr1
MIR19A	ENO1	ENSG00000284204	ENSG00000230679	chr13	chr1
MIR30A	GPR157	ENSG00000207827	ENSG00000180758	chr6	chr1
NA	GPR157	NA	ENSG00000180758	NA	chr1
MIR17	H6PD	ENSG00000284536	ENSG00000049239	chr13	chr1
NA	H6PD	NA	ENSG00000049239	NA	chr1
MIR320A	SLC25A33	ENSG00000208037	ENSG00000171612	chr8	chr1
MIR34A	SLC25A33	ENSG00000284357	ENSG00000171612	chr1	chr1
MIR30A	CLSTN1	ENSG00000207827	ENSG00000171603	chr6	chr1
MIR30E	CLSTN1	ENSG00000198974	ENSG00000171603	chr1	chr1
MIR27A	KIF1B	ENSG00000207808	ENSG00000054523	chr19	chr1
MIR27B	KIF1B	ENSG00000207864	ENSG00000054523	chr9	chr1
NA	KIF1B	NA	ENSG00000054523	NA	chr1
MIR339	PGD	ENSG00000199023	ENSG00000142657	chr7	chr1
MIR320A	PGD	ENSG00000208037	ENSG00000142657	chr8	chr1
NA	PGD	NA	ENSG00000142657	NA	chr1
MIRLET7E	PGD	ENSG00000198972	ENSG00000142657	chr19	chr1
MIR15B	PGD	ENSG00000207779	ENSG00000142657	chr3	chr1
MIR122	APITD1	ENSG00000284440	NA	chr18	NA
MIR574	APITD1	ENSG00000207944	NA	chr4	NA
MIR23A	TARDBP	ENSG00000207980	ENSG00000120948	chr19	chr1
NA	TARDBP	NA	ENSG00000120948	NA	chr1
MIR181A	TARDBP	NA	ENSG00000120948	NA	chr1
MIR320A	SRM	ENSG00000208037	ENSG00000116649	chr8	chr1
MIR423	SRM	ENSG00000283935	ENSG00000116649	chr17	chr1
NA	SRM	NA	ENSG00000116649	NA	chr1
MIR103A	SRM	NA	ENSG00000116649	NA	chr1
MIR17	EXOSC10	ENSG00000284536	ENSG00000171824	chr13	chr1
MIR17	EXOSC10	ENSG00000284536	ENSG00000230337	chr13	chr1
NA	EXOSC10	NA	ENSG00000171824	NA	chr1
NA	EXOSC10	NA	ENSG00000230337	NA	chr1
MIR26A	MTOR	NA	ENSG00000198793	NA	chr1
MIR26A	MTOR	NA	ENSG00000225602	NA	chr1
MIR744	MTOR	ENSG00000266297	ENSG00000198793	chr17	chr1
MIR744	MTOR	ENSG00000266297	ENSG00000225602	chr17	chr1
MIR16	KIAA2013	ENSG00000198987	ENSG00000116685	chr3	chr1
MIR16	KIAA2013	ENSG00000208006	ENSG00000116685	chr13	chr1
NA	KIAA2013	NA	ENSG00000116685	NA	chr1
MIR484	PLOD1	ENSG00000283736	ENSG00000083444	chr16	chr1
MIR149	PLOD1	ENSG00000207611	ENSG00000083444	chr2	chr1
MIR34A	MFN2	ENSG00000284357	ENSG00000116688	chr1	chr1
MIR27A	MFN2	ENSG00000207808	ENSG00000116688	chr19	chr1
NA	MFN2	NA	ENSG00000116688	NA	chr1
MIR342	VPS13D	ENSG00000199082	ENSG00000048707	chr14	chr1
MIR10A	VPS13D	ENSG00000284038	ENSG00000048707	chr17	chr1
MIRLET7E	VPS13D	ENSG00000198972	ENSG00000048707	chr19	chr1
MIR93	DHRS3	ENSG00000207757	ENSG00000162496	chr7	chr1
NA	DHRS3	NA	ENSG00000162496	NA	chr1
MIR484	HNRNPCL1	ENSG00000283736	ENSG00000179172	chr16	chr1
MIR4279	HNRNPCL1	ENSG00000266243	ENSG00000179172	chr5	chr1
MIR196A	PDPN	NA	ENSG00000162493	NA	chr1
MIR196A	RP4-597A16.2	NA	NA	NA	NA
MIR182	PDPN	ENSG00000207990	ENSG00000162493	chr7	chr1
MIR182	RP4-597A16.2	ENSG00000207990	NA	chr7	NA
NA	DNAJC16	NA	ENSG00000116138	NA	chr1
MIRLET7C	DNAJC16	ENSG00000199030	ENSG00000116138	chr21	chr1
NA	RSC1A1	NA	ENSG00000215695	NA	chr1
MIR484	RSC1A1	ENSG00000283736	ENSG00000215695	chr16	chr1
NA	DDI2	NA	ENSG00000197312	NA	chr1
MIR29B	DDI2	NA	ENSG00000197312	NA	chr1
MIR182	DDI2	ENSG00000207990	ENSG00000197312	chr7	chr1
MIR30C	DDI2	NA	ENSG00000197312	NA	chr1
MIR92A	DDI2	NA	ENSG00000197312	NA	chr1
MIR455	PLEKHM2	ENSG00000207726	ENSG00000116786	chr9	chr1
MIR744	PLEKHM2	ENSG00000266297	ENSG00000116786	chr17	chr1
NA	SPEN	NA	ENSG00000065526	NA	chr1
MIR16	SPEN	ENSG00000198987	ENSG00000065526	chr3	chr1
MIR16	SPEN	ENSG00000208006	ENSG00000065526	chr13	chr1
MIR30C	SPEN	NA	ENSG00000065526	NA	chr1
MIR186	SPEN	ENSG00000207721	ENSG00000065526	chr1	chr1
MIR940	EPHA2	ENSG00000284346	ENSG00000142627	chr16	chr1
MIR130A	SZRD1	ENSG00000208009	ENSG00000055070	chr11	chr1
NA	SZRD1	NA	ENSG00000055070	NA	chr1
MIR181A	SZRD1	NA	ENSG00000055070	NA	chr1
MIRLET7B	SZRD1	ENSG00000284520	ENSG00000055070	chr22	chr1
MIR328	SZRD1	ENSG00000207948	ENSG00000055070	chr16	chr1
NA	AL021920.1	NA	NA	NA	NA
NA	AL137798.1	NA	NA	NA	NA
MIR196A	AL021920.1	NA	NA	NA	NA
MIR196A	AL137798.1	NA	NA	NA	NA
MIR122	SDHB	ENSG00000284440	ENSG00000117118	chr18	chr1
MIR125B	SDHB	NA	ENSG00000117118	NA	chr1
NA	SDHB	NA	ENSG00000117118	NA	chr1
MIR182	RCC2	ENSG00000207990	ENSG00000227751	chr7	chr1
MIR182	RCC2	ENSG00000207990	ENSG00000179051	chr7	chr1
MIR16	RCC2	ENSG00000198987	ENSG00000227751	chr3	chr1
MIR16	RCC2	ENSG00000198987	ENSG00000179051	chr3	chr1
MIR16	RCC2	ENSG00000208006	ENSG00000227751	chr13	chr1
MIR16	RCC2	ENSG00000208006	ENSG00000179051	chr13	chr1
MIR192	RCC2	ENSG00000283926	ENSG00000227751	chr11	chr1
MIR192	RCC2	ENSG00000283926	ENSG00000179051	chr11	chr1
NA	RCC2	NA	ENSG00000227751	NA	chr1
NA	RCC2	NA	ENSG00000179051	NA	chr1
MIR23A	RCC2	ENSG00000207980	ENSG00000227751	chr19	chr1
MIR23A	RCC2	ENSG00000207980	ENSG00000179051	chr19	chr1
MIR324	ARHGEF10L	ENSG00000199053	ENSG00000074964	chr17	chr1
MIR186	ACTL8	ENSG00000207721	ENSG00000117148	chr1	chr1
MIR26A	ACTL8	NA	ENSG00000117148	NA	chr1
MIR148B	ACTL8	ENSG00000199122	ENSG00000117148	chr12	chr1
MIR191	IFFO2	ENSG00000207605	ENSG00000169991	chr3	chr1
NA	IFFO2	NA	ENSG00000169991	NA	chr1
MIR877	RP5-1126H10.2	ENSG00000216101	NA	chr6	NA
MIR296	RP5-1126H10.2	ENSG00000284040	NA	chr20	NA
MIR423	RP5-1126H10.2	ENSG00000283935	NA	chr17	NA
NA	RP5-1126H10.2	NA	NA	NA	NA
MIR320A	UBR4	ENSG00000208037	ENSG00000127481	chr8	chr1
NA	UBR4	NA	ENSG00000127481	NA	chr1
MIR25	UBR4	ENSG00000207547	ENSG00000127481	chr7	chr1
MIR17	UBR4	ENSG00000284536	ENSG00000127481	chr13	chr1
MIR3934	CAPZB	ENSG00000266509	ENSG00000077549	chr6	chr1
NA	CAPZB	NA	ENSG00000077549	NA	chr1
MIR324	CAPZB	ENSG00000199053	ENSG00000077549	chr17	chr1
NA	OTUD3	NA	ENSG00000169914	NA	chr1
MIR23A	OTUD3	ENSG00000207980	ENSG00000169914	chr19	chr1
MIR30A	OTUD3	ENSG00000207827	ENSG00000169914	chr6	chr1
MIR125A	OTUD3	ENSG00000208008	ENSG00000169914	chr19	chr1
MIR18A	CAMK2N1	ENSG00000283815	ENSG00000162545	chr13	chr1
NA	CAMK2N1	NA	ENSG00000162545	NA	chr1
MIRLET7I	DDOST	ENSG00000199179	ENSG00000244038	chr12	chr1
NA	DDOST	NA	ENSG00000244038	NA	chr1
MIR29B	HP1BP3	NA	ENSG00000127483	NA	chr1
NA	HP1BP3	NA	ENSG00000127483	NA	chr1
NA	EIF4G3	NA	ENSG00000075151	NA	chr1
MIR21	EIF4G3	ENSG00000284190	ENSG00000075151	chr17	chr1
MIR20A	EIF4G3	ENSG00000283762	ENSG00000075151	chr13	chr1
MIR320A	EIF4G3	ENSG00000208037	ENSG00000075151	chr8	chr1
MIR320D	EIF4G3	NA	ENSG00000075151	NA	chr1
MIR221	EIF4G3	ENSG00000207870	ENSG00000075151	chrX	chr1
MIR99B	EIF4G3	ENSG00000207550	ENSG00000075151	chr19	chr1
MIR484	ECE1	ENSG00000283736	ENSG00000117298	chr16	chr1
MIR484	ECE1	ENSG00000283736	ENSG00000231105	chr16	chr1
MIR454	USP48	ENSG00000211514	ENSG00000090686	chr17	chr1
NA	USP48	NA	ENSG00000090686	NA	chr1
MIR17	CDC42	ENSG00000284536	ENSG00000070831	chr13	chr1
MIR17	CDC42	ENSG00000284536	ENSG00000285752	chr13	chr1
MIR17	CDC42	ENSG00000284536	ENSG00000230068	chr13	chr1
MIR106B	CDC42	ENSG00000208036	ENSG00000070831	chr7	chr1
MIR106B	CDC42	ENSG00000208036	ENSG00000285752	chr7	chr1
MIR106B	CDC42	ENSG00000208036	ENSG00000230068	chr7	chr1
MIR106B	ZBTB40	ENSG00000208036	ENSG00000184677	chr7	chr1
MIR106B	ZBTB40	ENSG00000208036	ENSG00000237200	chr7	chr1
MIR17	ZBTB40	ENSG00000284536	ENSG00000184677	chr13	chr1
MIR17	ZBTB40	ENSG00000284536	ENSG00000237200	chr13	chr1
MIR500A	KDM1A	ENSG00000207785	ENSG00000004487	chrX	chr1
MIR23B	KDM1A	ENSG00000207563	ENSG00000004487	chr9	chr1
NA	KDM1A	NA	ENSG00000004487	NA	chr1
MIR17	HNRNPR	ENSG00000284536	ENSG00000125944	chr13	chr1
NA	HNRNPR	NA	ENSG00000125944	NA	chr1
MIR92A	HNRNPR	NA	ENSG00000125944	NA	chr1
MIR320A	ZNF436	ENSG00000208037	ENSG00000125945	chr8	chr1
MIR320A	ZNF436	ENSG00000208037	ENSG00000249087	chr8	chr1
NA	ZNF436	NA	ENSG00000125945	NA	chr1
NA	ZNF436	NA	ENSG00000249087	NA	chr1
MIR92A	RPL11	NA	ENSG00000142676	NA	chr1
NA	RPL11	NA	ENSG00000142676	NA	chr1
MIR505	RPL11	ENSG00000207633	ENSG00000142676	chrX	chr1
MIRLET7F	TCEB3	NA	NA	NA	NA
NA	TCEB3	NA	NA	NA	NA
MIR484	PITHD1	ENSG00000283736	ENSG00000057757	chr16	chr1
NA	PITHD1	NA	ENSG00000057757	NA	chr1
MIR339	LYPLA2	ENSG00000199023	ENSG00000011009	chr7	chr1
MIR296	LYPLA2	ENSG00000284040	ENSG00000011009	chr20	chr1
MIR423	LYPLA2	ENSG00000283935	ENSG00000011009	chr17	chr1
NA	LYPLA2	NA	ENSG00000011009	NA	chr1
MIR320B	HMGCL	NA	ENSG00000117305	NA	chr1
MIR320D	HMGCL	NA	ENSG00000117305	NA	chr1
MIR106B	HMGCL	ENSG00000208036	ENSG00000117305	chr7	chr1
NA	HMGCL	NA	ENSG00000117305	NA	chr1
MIR16	IFNLR1	ENSG00000198987	ENSG00000185436	chr3	chr1
MIR16	IFNLR1	ENSG00000208006	ENSG00000185436	chr13	chr1
NA	IFNLR1	NA	ENSG00000185436	NA	chr1
MIR10A	CLIC4	ENSG00000284038	ENSG00000169504	chr17	chr1
NA	CLIC4	NA	ENSG00000169504	NA	chr1
MIR19A	CLIC4	ENSG00000284204	ENSG00000169504	chr13	chr1
MIR122	CLIC4	ENSG00000284440	ENSG00000169504	chr18	chr1
MIR374A	CLIC4	ENSG00000199168	ENSG00000169504	chrX	chr1
MIR26A	CLIC4	NA	ENSG00000169504	NA	chr1
MIR130B	CLIC4	ENSG00000283871	ENSG00000169504	chr22	chr1
MIR301A	CLIC4	ENSG00000207996	ENSG00000169504	chr17	chr1
MIR320A	SYF2	ENSG00000208037	ENSG00000117614	chr8	chr1
NA	SYF2	NA	ENSG00000117614	NA	chr1
MIR27A	C1orf63	ENSG00000207808	NA	chr19	NA
NA	C1orf63	NA	NA	NA	NA
NA	TMEM50A	NA	ENSG00000183726	NA	chr1
MIR30C	TMEM50A	NA	ENSG00000183726	NA	chr1
MIR149	SEPN1	ENSG00000207611	NA	chr2	NA
MIR423	SEPN1	ENSG00000283935	NA	chr17	NA
MIR744	STMN1	ENSG00000266297	ENSG00000117632	chr17	chr1
NA	STMN1	NA	ENSG00000117632	NA	chr1
MIR26A	STMN1	NA	ENSG00000117632	NA	chr1
MIR455	STMN1	ENSG00000207726	ENSG00000117632	chr9	chr1
MIR484	MIR3917	ENSG00000283736	ENSG00000283938	chr16	chr1
MIR484	STMN1	ENSG00000283736	ENSG00000117632	chr16	chr1
NA	PDIK1L	NA	ENSG00000175087	NA	chr1
MIR92A	PDIK1L	NA	ENSG00000175087	NA	chr1
MIR92B	PDIK1L	ENSG00000284586	ENSG00000175087	chr1	chr1
MIR17	PDIK1L	ENSG00000284536	ENSG00000175087	chr13	chr1
MIR18A	PDIK1L	ENSG00000283815	ENSG00000175087	chr13	chr1
MIR671	CEP85	ENSG00000284191	ENSG00000130695	chr7	chr1
NA	CEP85	NA	ENSG00000130695	NA	chr1
MIR30B	HMGN2	ENSG00000207582	ENSG00000198830	chr8	chr1
MIR30C	HMGN2	NA	ENSG00000198830	NA	chr1
MIR193B	ARID1A	ENSG00000207639	ENSG00000117713	chr16	chr1
NA	ARID1A	NA	ENSG00000117713	NA	chr1
MIR320A	ARID1A	ENSG00000208037	ENSG00000117713	chr8	chr1
MIR296	ARID1A	ENSG00000284040	ENSG00000117713	chr20	chr1
MIR16	ARID1A	ENSG00000198987	ENSG00000117713	chr3	chr1
MIR16	ARID1A	ENSG00000208006	ENSG00000117713	chr13	chr1
MIR885	ARID1A	ENSG00000216135	ENSG00000117713	chr3	chr1
MIR18A	ARID1A	ENSG00000283815	ENSG00000117713	chr13	chr1
MIR455	ARID1A	ENSG00000207726	ENSG00000117713	chr9	chr1
MIR7	WASF2	ENSG00000284179	ENSG00000158195	chr9	chr1
MIR7	WASF2	ENSG00000207703	ENSG00000158195	chr15	chr1
MIR7	WASF2	ENSG00000176840	ENSG00000158195	chr19	chr1
MIR7	WASF2	ENSG00000207630	ENSG00000158195	chr19	chr1
NA	WASF2	NA	ENSG00000158195	NA	chr1
MIR877	WASF2	ENSG00000216101	ENSG00000158195	chr6	chr1
MIR940	WASF2	ENSG00000284346	ENSG00000158195	chr16	chr1
NA	AHDC1	NA	ENSG00000126705	NA	chr1
MIR579	AHDC1	ENSG00000207956	ENSG00000126705	chr5	chr1
MIR18A	STX12	ENSG00000283815	ENSG00000117758	chr13	chr1
NA	STX12	NA	ENSG00000117758	NA	chr1
MIR106B	STX12	ENSG00000208036	ENSG00000117758	chr7	chr1
MIR17	STX12	ENSG00000284536	ENSG00000117758	chr13	chr1
NA	PPP1R8	NA	ENSG00000117751	NA	chr1
MIR20A	PPP1R8	ENSG00000283762	ENSG00000117751	chr13	chr1
MIR874	PPP1R8	ENSG00000216009	ENSG00000117751	chr5	chr1
MIR20A	RPA2	ENSG00000283762	ENSG00000117748	chr13	chr1
MIR92A	RPA2	NA	ENSG00000117748	NA	chr1
NA	RPA2	NA	ENSG00000117748	NA	chr1
MIRLET7C	EYA3	ENSG00000199030	ENSG00000158161	chr21	chr1
NA	EYA3	NA	ENSG00000158161	NA	chr1
NA	ATPIF1	NA	NA	NA	NA
MIR324	ATPIF1	ENSG00000199053	NA	chr17	NA
MIR615	ATPIF1	ENSG00000207571	NA	chr12	NA
MIR27A	ATPIF1	ENSG00000207808	NA	chr19	NA
MIR22	ATPIF1	ENSG00000283824	NA	chr17	NA
NA	SESN2	NA	ENSG00000130766	NA	chr1
MIRLET7A	SESN2	NA	ENSG00000130766	NA	chr1
MIR27A	SESN2	ENSG00000207808	ENSG00000130766	chr19	chr1
MIR26B	MED18	ENSG00000199121	ENSG00000130772	chr2	chr1
MIR26A	MED18	NA	ENSG00000130772	NA	chr1
MIR484	PHACTR4	ENSG00000283736	ENSG00000204138	chr16	chr1
MIR296	RCC1	ENSG00000284040	ENSG00000180198	chr20	chr1
MIR296	SNHG3	ENSG00000284040	ENSG00000242125	chr20	chr1
NA	RCC1	NA	ENSG00000180198	NA	chr1
NA	SNHG3	NA	ENSG00000242125	NA	chr1
MIR92A	RCC1	NA	ENSG00000180198	NA	chr1
NA	SNHG12	NA	ENSG00000197989	NA	chr1
MIR126	SNHG12	ENSG00000199161	ENSG00000197989	chr9	chr1
MIR103A	SNHG12	NA	ENSG00000197989	NA	chr1
MIR106B	YTHDF2	ENSG00000208036	ENSG00000198492	chr7	chr1
NA	YTHDF2	NA	ENSG00000198492	NA	chr1
MIR151A	YTHDF2	ENSG00000254324	ENSG00000198492	chr8	chr1
MIR615	YTHDF2	ENSG00000207571	ENSG00000198492	chr12	chr1
MIR30C	YTHDF2	NA	ENSG00000198492	NA	chr1
MIR320B	EPB41	NA	ENSG00000159023	NA	chr1
MIR320A	EPB41	ENSG00000208037	ENSG00000159023	chr8	chr1
MIR423	EPB41	ENSG00000283935	ENSG00000159023	chr17	chr1
NA	EPB41	NA	ENSG00000159023	NA	chr1
MIR342	EPB41	ENSG00000199082	ENSG00000159023	chr14	chr1
MIR320A	SRSF4	ENSG00000208037	ENSG00000116350	chr8	chr1
NA	SRSF4	NA	ENSG00000116350	NA	chr1
